farm,region,zone,district,lon,lat,altitude,cultivar,shade,cropping_system,farm_management,inc,sev2
238,SNNPR,Gedio,Dila Zuria,38.42,6.440277777777778,1098,Local,Sun,Plantation,Unmanaged,72.7,42.3841
239,SNNPR,Gedio,Dila Zuria,38.42,6.440277777777778,1267,Mixture,Mid shade,Garden,Minimal,41.56,13.428036000000002
240,SNNPR,Gedio,Dila Zuria,38.4,6.651111111111112,1245,Mixture,Mid shade,Garden,Minimal,39.34,11.184362
286,Oromia,Jimma,Shebe Senbo,36.410555555555554,7.539722222222222,1674,Mixture,Full shade,Semiforest,Intensive,28.45,7.627445
287,Oromia,Jimma,Shebe Senbo,36.401944444444446,7.529444444444445,1567,Mixture,Mid shade,Garden,Moderate,48.2670487056803,9.38794097325482
288,Oromia,Jimma,Shebe Senbo,36.406388888888884,7.5375,1868,Mixture,Full shade,Semiforest,Moderate,22.86,1.30302
289,Oromia,Jimma,Shebe Senbo,36.41722222222222,7.521111111111111,1657,Mixture,Full shade,Semiforest,Moderate,47.45,9.789141304347828
290,Oromia,Jimma,Shebe Senbo,36.416666666666664,7.5216666666666665,1556,Local,Sun,Plantation,Unmanaged,50.6,18.468999999999998
291,Oromia,Jimma,Shebe Senbo,36.406388888888884,7.5375,1567,Mixture,Mid shade,Garden,Moderate,48.2670487056803,13.186557706391861
292,Oromia,Jimma,Shebe Senbo,36.452222222222225,7.5225,1568,Mixture,Full shade,Garden,Moderate,35.89,5.6004004347826095
293,Oromia,Jimma,Shebe Senbo,36.45277777777778,7.523611111111111,1657,Mixture,Full shade,Semiforest,Moderate,21.2,1.06
294,Oromia,Jimma,Shebe Senbo,36.45388888888889,7.524166666666667,1356,Local,Sun,Plantation,Unmanaged,50.6,17.6088
295,Oromia,Jimma,Shebe Senbo,36.45472222222222,7.525833333333333,1567,Mixture,Mid shade,Garden,Moderate,48.2670487056803,15.435802176076564
296,Oromia,Jimma,Shebe Senbo,36.48722222222222,7.491666666666667,1568,Mixture,Full shade,Semiforest,Moderate,36.65,5.840097826086956
297,Oromia,Jimma,Shebe Senbo,36.48722222222222,7.356944444444444,1657,Mixture,Full shade,Garden,Moderate,41.7759922070267,10.260183686045755
298,Oromia,Jimma,Shebe Senbo,36.43583333333333,7.490277777777778,1356,Local,Sun,Plantation,Unmanaged,49.7,11.47076
299,Oromia,Jimma,Shebe Senbo,36.492222222222225,7.496388888888889,1567,Mixture,Mid shade,Garden,Moderate,48.2670487056803,13.273438394062085
300,Oromia,Jimma,Shebe Senbo,36.49305555555556,7.498055555555555,1568,Mixture,Full shade,Garden,Moderate,42.12,7.713453913043478
301,Oromia,Jimma,Gera,36.59527777777778,7.847222222222222,1857,Mixture,Full shade,Garden,Moderate,31.7759922070267,3.6383511077045565
302,Oromia,Jimma,Gera,36.59638888888889,7.848333333333333,1721,Mixture,Full shade,Semiforest,Intensive,40.6,4.6690000000000005
303,Oromia,Jimma,Gera,36.653888888888886,7.852777777777778,1934,Improved,Full shade,Semiforest,Intensive,16.23,1.73661
304,Oromia,Jimma,Gera,36.67805555555555,7.826666666666666,1921,Mixture,Full shade,Semiforest,Intensive,23.45,2.8937299999999997
305,Oromia,Jimma,Gera,36.71138888888889,7.76,1934,Improved,Full shade,Semiforest,Intensive,19.89,2.12823
306,Oromia,Jimma,Gera,36.67805555555555,7.826666666666666,1821,Mixture,Full shade,Semiforest,Intensive,16.89,2.0048429999999997
307,Oromia,Jimma,Gera,36.778055555555554,7.993333333333333,1934,Improved,Full shade,Semiforest,Intensive,15.23,1.6296099999999998
308,Oromia,Jimma,Gera,36.67805555555555,7.826666666666666,1821,Mixture,Full shade,Semiforest,Intensive,24.058021595263,1.611887446882621
309,Oromia,Jimma,Gera,36.778055555555554,7.66,1934,Improved,Full shade,Semiforest,Intensive,9.5,0.4465
310,Oromia,Jimma,Gera,36.67805555555555,7.826666666666666,1821,Mixture,Full shade,Semiforest,Intensive,17.34,0.743886
311,Oromia,Jimma,Gera,36.778055555555554,8.326666666666666,1721,Mixture,Full shade,Forest,Intensive,11.6,0.37351999999999996
312,Oromia,Jimma,Gera,36.67805555555555,7.826666666666666,1721,Mixture,Full shade,Semiforest,Intensive,12.24,0.7527600000000001
313,Oromia,Jimma,Gera,37.01138888888889,8.326666666666666,1721,Mixture,Full shade,Forest,Intensive,18.4,1.0028000000000001
314,Oromia,Jimma,Gera,36.844722222222224,7.993333333333333,1721,Mixture,Full shade,Forest,Intensive,14.34,1.0181399999999998
315,Oromia,Jimma,Gera,36.05611111111111,7.310833333333333,1721,Mixture,Full shade,Forest,Intensive,17.34,1.1375039999999998
316,Oromia,Jimma,Gomma,36.08916666666667,7.275833333333333,1721,Mixture,Full shade,Forest,Intensive,19.23,3.526782
317,Oromia,Jimma,Gomma,36.05888888888889,7.3075,1523,Mixture,Mid shade,Garden,Minimal,44.82,9.313596
318,Oromia,Jimma,Gomma,36.08916666666667,7.275833333333333,1678,Mixture,Full shade,Semiforest,Moderate,31.6,6.152519999999999
319,Oromia,Jimma,Gomma,36.059444444444445,7.306111111111111,1786,Mixture,Full shade,Semiforest,Moderate,22.4,3.7183999999999995
320,Oromia,Jimma,Gomma,36.06027777777778,7.305833333333333,1589,Local,Sun,Plantation,Unmanaged,42.3,10.71882
321,Oromia,Jimma,Gomma,36.10111111111111,7.311388888888889,1523,Mixture,Mid shade,Garden,Minimal,45.3191348881004,10.582017996371444
322,Oromia,Jimma,Gomma,36.09916666666667,7.3133333333333335,1678,Mixture,Full shade,Semiforest,Moderate,31.7829775588396,8.08876778872468
323,Oromia,Jimma,Gomma,36.1,7.3133333333333335,1786,Mixture,Full shade,Semiforest,Moderate,34.0804597701149,5.602827586206891
324,Oromia,Jimma,Gomma,36.099444444444444,7.3125,1589,Local,Sun,Plantation,Unmanaged,31.54,3.598714
325,Oromia,Jimma,Gomma,36.1,7.3133333333333335,1523,Mixture,Mid shade,Garden,Minimal,45.3191348881004,10.813145584300756
326,Oromia,Jimma,Gomma,36.35666666666667,7.322222222222222,1678,Mixture,Full shade,Semiforest,Moderate,31.23,6.770664
327,Oromia,Jimma,Gomma,36.365,7.921666666666667,1586,Mixture,Full shade,Semiforest,Moderate,22.4,2.3161599999999996
328,Oromia,Jimma,Gomma,37.64944444444445,8.026666666666667,1689,Local,Sun,Plantation,Unmanaged,52.3,13.336500000000001
329,Oromia,Jimma,Gomma,36.97888888888889,8.931666666666667,1523,Mixture,Mid shade,Garden,Minimal,45.3191348881004,10.35089040844213
330,Oromia,Jimma,Gomma,35.52444444444444,8.536944444444444,1678,Mixture,Full shade,Semiforest,Moderate,44.65,11.09999
331,Oromia,Ilu AbaBora,Matu,35.52972222222222,8.537222222222223,1786,Mixture,Full shade,Semiforest,Moderate,32.86,7.340924
332,Oromia,Ilu AbaBora,Matu,35.50666666666667,8.143888888888888,1452,Local,Sun,Plantation,Minimal,57.2,16.874
333,Oromia,Ilu AbaBora,Matu,35.5125,8.143055555555556,1786,Mixture,Mid shade,Plantation,Moderate,52.6847290640394,14.530448275862067
334,Oromia,Ilu AbaBora,Matu,35.5225,8.144166666666667,1658,Mixture,Full shade,Semiforest,Intensive,26.42,5.373828
335,Oromia,Ilu AbaBora,Matu,35.54944444444444,8.166944444444443,1452,Local,Sun,Plantation,Minimal,47.89,12.863254
336,Oromia,Ilu AbaBora,Matu,35.54694444444444,8.1658333333333335,1786,Mixture,Mid shade,Semiforest,Moderate,46.16,11.761568
337,Oromia,Ilu AbaBora,Matu,35.54555555555555,8.16638888888889,1858,Mixture,Full shade,Semiforest,Intensive,25.57,2.842716956521739
338,Oromia,Ilu AbaBora,Matu,35.54805555555556,8.17,1452,Local,Sun,Plantation,Minimal,51.23,11.410925652173914
339,Oromia,Ilu AbaBora,Matu,35.54972222222222,8.175555555555555,1786,Mixture,Mid shade,Plantation,Moderate,48.34,13.332172
340,Oromia,Ilu AbaBora,Matu,35.795833333333334,8.393611111111111,1858,Mixture,Full shade,Semiforest,Intensive,18.86,1.5465200000000001
341,Oromia,Ilu AbaBora,Matu,35.79472222222222,8.391944444444444,1452,Local,Sun,Plantation,Minimal,57.2,15.198040000000002
342,Oromia,Ilu AbaBora,Matu,35.796388888888885,8.395555555555555,1786,Mixture,Mid shade,Garden,Moderate,34.64,9.526
343,Oromia,Ilu AbaBora,Matu,35.796388888888885,8.395555555555555,1675,Mixture,Full shade,Semiforest,Intensive,24.88,2.691366956521739
344,Oromia,Ilu AbaBora,Matu,35.78861111111111,8.398055555555555,1767,Mixture,Full shade,Semiforest,Intensive,25.76,2.8851200000000006
345,Oromia,Ilu AbaBora,Matu,35.79722222222222,8.371666666666668,1786,Mixture,Full shade,Semiforest,Intensive,18.89,0.7933800000000001
346,Oromia,Ilu AbaBora,Ale,35.79944444444444,8.373611111111112,1858,Mixture,Full shade,Semiforest,Intensive,24.34,2.5758069565217396
347,Oromia,Ilu AbaBora,Ale,35.87166666666667,8.358333333333333,1927,Improved,Full shade,Forest,Intensive,12.25,1.520225
348,Oromia,Ilu AbaBora,Ale,35.87166666666667,8.359722222222222,1923,Improved,Full shade,Forest,Intensive,15.7389162561576,1.9673645320197002
349,Oromia,Ilu AbaBora,Ale,35.8775,8.366944444444444,1642,Improved,Full shade,Forest,Intensive,20.7,2.13624
350,Oromia,Ilu AbaBora,Ale,35.87722222222222,8.366944444444444,1927,Improved,Full shade,Forest,Intensive,13.6,1.6877600000000004
351,Oromia,Ilu AbaBora,Ale,35.87777777777778,8.367222222222223,1923,Improved,Full shade,Forest,Intensive,13.45,1.6812499999999997
352,Oromia,Ilu AbaBora,Ale,35.87861111111111,8.366944444444444,1942,Improved,Full shade,Forest,Intensive,13.3,1.1504500000000002
353,Oromia,Ilu AbaBora,Ale,36.416666666666664,7.782222222222222,1927,Improved,Full shade,Forest,Intensive,13.2,1.6381200000000002
354,Oromia,Ilu AbaBora,Ale,36.41777777777777,7.783055555555555,1923,Improved,Full shade,Forest,Intensive,15.7389162561576,1.9673645320197002
355,Oromia,Ilu AbaBora,Ale,36.416666666666664,7.7825,1642,Improved,Full shade,Forest,Intensive,20.7,0.9521999999999999
356,Oromia,Ilu AbaBora,Ale,36.400555555555556,7.803055555555556,1927,Improved,Full shade,Forest,Intensive,11.3,0.36160000000000003
357,Oromia,Ilu AbaBora,Ale,36.399166666666666,7.786944444444444,1923,Improved,Full shade,Forest,Intensive,12.5,0.3125
358,Oromia,Ilu AbaBora,Ale,36.399166666666666,7.785277777777778,1923,Improved,Full shade,Forest,Intensive,15.7389162561576,0.7082512315270919
359,Oromia,Ilu AbaBora,Ale,36.42777777777778,7.784722222222222,1923,Improved,Full shade,Forest,Intensive,11.3,0.6327999999999999
360,Oromia,Ilu AbaBora,Ale,36.42833333333333,7.785555555555556,1923,Improved,Full shade,Forest,Intensive,15.7389162561576,1.18041871921182
361,Oromia,Ilu AbaBora,Yayo,36.43277777777777,7.783888888888889,1324,Local,Sun,Forest,Unmanaged,52.2,17.97246
362,Oromia,Ilu AbaBora,Yayo,36.4325,7.782777777777778,1445,Mixture,Mid shade,Forest,Minimal,34.2,5.085391304347827
363,Oromia,Ilu AbaBora,Yayo,36.43138888888889,7.782222222222222,1423,Mixture,Mid shade,Forest,Minimal,31.4733545768025,5.211987517918494
364,Oromia,Ilu AbaBora,Yayo,36.43083333333333,7.781944444444444,1280,Local,Sun,Forest,Unmanaged,61.2,14.339160000000001
365,Oromia,Ilu AbaBora,Yayo,36.43055555555555,7.781666666666666,1268,Local,Sun,Forest,Unmanaged,59.3,8.21898
366,Oromia,Ilu AbaBora,Yayo,36.43,7.913333333333333,1445,Mixture,Mid shade,Forest,Minimal,45.8641975308642,10.943197530864198
367,Oromia,Ilu AbaBora,Yayo,36.430277777777775,7.780833333333334,1423,Mixture,Mid shade,Forest,Minimal,43.5,8.030100000000001
368,Oromia,Ilu AbaBora,Yayo,36.59638888888889,7.847222222222222,1180,Local,Sun,Forest,Unmanaged,48.45,6.894435000000001
369,Oromia,Ilu AbaBora,Yayo,36.597500000000004,7.846666666666667,1268,Local,Sun,Forest,Unmanaged,68,9.112
370,Oromia,Ilu AbaBora,Yayo,36.594722222222224,7.845277777777778,1445,Mixture,Mid shade,Forest,Minimal,45.8641975308642,12.502580246913583
371,Oromia,Ilu AbaBora,Yayo,36.59444444444445,7.845277777777778,1423,Mixture,Mid shade,Forest,Minimal,42.43,10.234116
372,Oromia,Ilu AbaBora,Yayo,36.59444444444445,7.845,1180,Local,Sun,Forest,Unmanaged,68,30.7564
373,Oromia,Ilu AbaBora,Yayo,36.59388888888889,7.845,1268,Local,Sun,Forest,Unmanaged,68,31.864800000000002
374,Oromia,Ilu AbaBora,Yayo,36.593611111111116,7.845833333333333,1445,Mixture,Mid shade,Forest,Minimal,35.2,5.38713043478261
375,Oromia,Ilu AbaBora,Yayo,36.595,7.847222222222222,1423,Mixture,Mid shade,Forest,Minimal,33.2,4.792347826086957
376,Oromia,Bale,Harena Buluk,39.46666666666667,6.219444444444445,1623,Mixture,Mid shade,Garden,Minimal,34.6,5.0516
377,Oromia,Bale,Harena Buluk,39.696666666666665,7.285,1578,Mixture,Full shade,Semiforest,Moderate,48.86,8.506526000000001
378,Oromia,Bale,Harena Buluk,40.03638888888889,6.589444444444444,1667,Mixture,Full shade,Semiforest,Moderate,39.46,5.658564
379,Oromia,Bale,Harena Buluk,39.82166666666667,6.4975000000000005,1278,Local,Sun,Plantation,Unmanaged,49.9,12.6247
380,Oromia,Bale,Harena Buluk,39.661944444444444,6.403611111111111,1623,Mixture,Mid shade,Garden,Minimal,38.24,6.357815652173915
381,Oromia,Bale,Harena Buluk,39.62277777777778,7.0377777777777775,1578,Mixture,Full shade,Semiforest,Moderate,34.0804597701149,4.873505747126432
382,Oromia,Bale,Harena Buluk,39.46666666666667,6.849722222222222,1667,Mixture,Full shade,Semiforest,Moderate,36.8,5.24032
383,Oromia,Bale,Harena Buluk,39.696666666666665,6.652222222222222,1278,Local,Sun,Plantation,Unmanaged,49.7,12.246080000000003
384,Oromia,Bale,Harena Buluk,40.03638888888889,6.505833333333333,1623,Mixture,Mid shade,Garden,Minimal,48.46,10.210311304347828
385,Oromia,Bale,Harena Buluk,39.655,6.219444444444445,1578,Mixture,Full shade,Semiforest,Moderate,34.5,6.00645
386,Oromia,Bale,Harena Buluk,39.828611111111115,7.285,1278,Local,Sun,Plantation,Unmanaged,48.5,10.379
387,Oromia,Bale,Harena Buluk,39.45611111111111,6.589444444444444,1278,Local,Sun,Plantation,Unmanaged,47.3,10.9736
388,Oromia,Bale,Harena Buluk,39.96666666666667,6.4975000000000005,1278,Local,Sun,Plantation,Unmanaged,47.68,10.165376
389,Oromia,Bale,Harena Buluk,39.696666666666665,6.403611111111111,1278,Local,Sun,Plantation,Unmanaged,49.1,10.02131
390,Oromia,Bale,Harena Buluk,40.03638888888889,7.0377777777777775,1278,Local,Sun,Plantation,Unmanaged,48.24,10.241352000000001
391,Oromia,Bale,Delo Menna,39.82166666666667,6.849722222222222,1523,Mixture,Mid shade,Garden,Moderate,49.4,6.08608
392,Oromia,Bale,Delo Menna,39.661944444444444,6.652222222222222,1686,Mixture,Full shade,Semiforest,Moderate,38.46,7.076639999999999
393,Oromia,Bale,Delo Menna,39.62277777777778,6.505833333333333,1345,Mixture,Full shade,Semiforest,Moderate,16.8,0.756
394,Oromia,Bale,Delo Menna,39.46666666666667,6.219444444444445,1365,Local,Sun,Plantation,Unmanaged,49.39,7.70484
395,Oromia,Bale,Delo Menna,39.696666666666665,7.285,1523,Mixture,Mid shade,Garden,Moderate,49.5402298850575,3.898816091954026
396,Oromia,Bale,Delo Menna,40.20305555555556,6.589444444444444,1586,Mixture,Full shade,Semiforest,Moderate,38.2670487056803,7.041136961845175
397,Oromia,Bale,Delo Menna,39.98833333333334,6.4975000000000005,1745,Mixture,Full shade,Semiforest,Moderate,37.8275651551514,6.221411676379236
398,Oromia,Bale,Delo Menna,39.49527777777778,6.403611111111111,1365,Local,Sun,Plantation,Unmanaged,49.4,3.8433200000000003
399,Oromia,Bale,Delo Menna,39.78944444444444,6.219444444444445,1523,Mixture,Mid shade,Garden,Moderate,48.56,10.25249391304348
400,Oromia,Bale,Delo Menna,39.69972222222222,7.285,1586,Mixture,Full shade,Semiforest,Moderate,38.2670487056803,7.041136961845175
401,Oromia,Bale,Delo Menna,40.19222222222222,6.589444444444444,1365,Local,Sun,Plantation,Unmanaged,46.34,6.232729999999999
402,Oromia,Bale,Delo Menna,39.86638888888889,6.4975000000000005,1365,Local,Sun,Plantation,Unmanaged,46.56,6.1598880000000005
403,Oromia,Bale,Delo Menna,39.85888888888889,6.403611111111111,1365,Local,Sun,Plantation,Unmanaged,45.34,5.545082000000001
404,Oromia,Bale,Delo Menna,39.69972222222222,7.0377777777777775,1365,Local,Sun,Plantation,Unmanaged,43.26,4.897032
405,Oromia,Bale,Delo Menna,40.19222222222222,6.849722222222222,1365,Local,Sun,Plantation,Unmanaged,45.67,5.6356779999999995
241,Oromia,West Wellega,Haru,35.811922,9.163511,1086,Local,Sun,Plantation,Unmanaged,51.4,12.0276
242,Oromia,West Wellega,Haru,35.811536,9.163882,1367,Mixture,Mid shade,Garden,Minimal,25.3,1.82919
243,Oromia,West Wellega,Haru,35.811096,9.164539,1086,Local,Sun,Plantation,Unmanaged,48.23,12.346879999999999
244,Oromia,West Wellega,Haru,35.815355,9.173828,1367,Mixture,Mid shade,Garden,Minimal,25.3,1.9227999999999998
245,Oromia,West Wellega,Haru,35.816009,9.174156,1086,Local,Sun,Plantation,Unmanaged,51.4,12.402819999999998
246,Oromia,West Wellega,Haru,35.81661,9.174707,1367,Mixture,Mid shade,Garden,Minimal,25.6,1.8944000000000003
247,Oromia,West Wellega,Haru,35.817264,9.175162,1086,Local,Sun,Plantation,Unmanaged,60.45,14.127165000000003
248,Oromia,West Wellega,Haru,35.817908,9.175808,1367,Mixture,Mid shade,Garden,Minimal,25.3,1.8469
249,Oromia,West Wellega,Haru,35.818487,9.176094,1086,Local,Sun,Plantation,Unmanaged,65.36,28.065583999999998
250,Oromia,West Wellega,Haru,35.819387999999996,9.176444,1086,Local,Sun,Plantation,Unmanaged,46.66,19.979812
251,Oromia,West Wellega,Haru,35.819871,9.176899,1086,Local,Sun,Plantation,Unmanaged,65.32,32.73838399999999
252,Oromia,West Wellega,Haru,35.820429,9.177196,1086,Local,Sun,Plantation,Unmanaged,48.36,21.25422
253,Oromia,West Wellega,Haru,35.820912,9.177863,1086,Local,Sun,Plantation,Unmanaged,58.2,27.033900000000006
254,Oromia,West Wellega,Haru,35.821599,9.178223,1086,Local,Sun,Plantation,Unmanaged,58.45,27.763749999999998
255,Oromia,West Wellega,Haru,35.822082,9.178848,1086,Local,Sun,Plantation,Unmanaged,57.45,29.529300000000003
256,Oromia,West Wellega,Ayra,35.473181,9.170237,1423,Local,Sun,Plantation,Unmanaged,71.3,20.320499999999996
257,Oromia,West Wellega,Ayra,35.473589,9.170608,1645,Mixture,Mid shade,Garden,Moderate,41.4733545768025,7.478431042839935
258,Oromia,West Wellega,Ayra,35.473203,9.170862,1834,Mixture,Full shade,Semiforest,Moderate,29.23,2.431936
259,Oromia,West Wellega,Ayra,35.468354,9.171074,1423,Local,Sun,Plantation,Unmanaged,48.2,10.75342
260,Oromia,West Wellega,Ayra,35.467506,9.171741,1645,Mixture,Mid shade,Garden,Moderate,41.4733545768025,6.9260502143260165
261,Oromia,West Wellega,Ayra,35.467334,9.172874,1734,Mixture,Full shade,Semiforest,Moderate,32.32,4.243616
262,Oromia,West Wellega,Ayra,35.469587,9.17227,1423,Local,Sun,Plantation,Unmanaged,47.21,10.442852
263,Oromia,West Wellega,Ayra,35.46684,9.168203,1645,Mixture,Mid shade,Garden,Moderate,41.4733545768025,7.478431042839935
264,Oromia,West Wellega,Ayra,35.467097,9.167652,1734,Mixture,Full shade,Semiforest,Moderate,39.5402298850575,5.772873563218395
265,Oromia,West Wellega,Ayra,35.467011,9.168457,1423,Local,Sun,Plantation,Unmanaged,45.8641975308642,8.39314814814815
266,Oromia,West Wellega,Ayra,35.466453,9.169188,1645,Mixture,Mid shade,Garden,Moderate,41.4733545768025,7.228805702736676
267,Oromia,West Wellega,Ayra,35.466378,9.168605,1734,Mixture,Full shade,Semiforest,Moderate,39.5402298850575,5.420965517241383
268,Oromia,West Wellega,Ayra,35.466378,9.168213,1734,Mixture,Full shade,Semiforest,Moderate,39.5402298850575,5.87963218390805
269,Oromia,West Wellega,Ayra,35.466303,9.169728,1694,Mixture,Full shade,Semiforest,Moderate,27.402298850575,1.15089655172415
270,Oromia,West Wellega,Ayra,35.466196,9.169273,1734,Mixture,Full shade,Semiforest,Moderate,39.5402298850575,4.792275862068968
271,Oromia,West Wellega,Nejo,35.488372,9.482056,1642,Improved,Full shade,Forest,Intensive,12.62,1.4311079999999996
272,Oromia,West Wellega,Nejo,35.502952,9.502333,1674,Local,Sun,Plantation,Moderate,49.45,20.85801
273,Oromia,West Wellega,Nejo,35.502641,9.502487,1876,Improved,Full shade,Forest,Intensive,27.45,5.325299999999999
274,Oromia,West Wellega,Nejo,35.502687,9.502521,1674,Mixture,Full shade,Semiforest,Intensive,26.78,4.8204
275,Oromia,West Wellega,Nejo,35.502566,9.502643,1876,Improved,Full shade,Garden,Intensive,31.5706707086018,6.175223190602512
276,Oromia,West Wellega,Nejo,35.502496,9.502644,1674,Local,Sun,Plantation,Moderate,61.46,23.772728
277,Oromia,West Wellega,Nejo,35.502475,9.502592,1876,Improved,Full shade,Garden,Intensive,31.5706707086018,7.756913793103462
278,Oromia,West Wellega,Nejo,35.502397,9.502759,1774,Mixture,Full shade,Semiforest,Intensive,26.87,2.25708
279,Oromia,West Wellega,Nejo,35.502263,9.502886,1876,Improved,Full shade,Semiforest,Intensive,30.95,8.706235
280,Oromia,West Wellega,Nejo,35.502177,9.500685,1674,Mixture,Full shade,Semiforest,Intensive,26.76,6.1494480000000005
281,Oromia,West Wellega,Nejo,35.496341,9.497891,1674,Local,Sun,Plantation,Moderate,40.84,16.111380000000004
282,Oromia,West Wellega,Nejo,35.495762,9.497584,1674,Mixture,Full shade,Semiforest,Intensive,24.98,6.717122000000001
283,Oromia,West Wellega,Nejo,35.495294,9.497182,1674,Mixture,Full shade,Semiforest,Intensive,25.78,4.862108
284,Oromia,West Wellega,Nejo,35.494786,9.498441,1674,Local,Sun,Plantation,Moderate,41.65,17.534650000000003
285,Oromia,West Wellega,Nejo,35.494046,9.497542,1674,Mixture,Full shade,Semiforest,Intensive,26.79,6.461747999999999
